x1,x2,label
-4.39,2.28,0
3.01,-3.91,0
-3.08,0.36,0
-3.6,-3.17,0
-0.37,3.74,1
-4.25,3.08,0
3.56,-4.02,0
1.52,0.41,1
-4.85,-4.07,0
2.54,-2.64,0
-0.94,-0.19,0
3.65,4.02,1
-3.35,-4.98,0
-1.1,4.27,1
2.85,-2.15,1
1.97,2.31,1
2.83,1.62,1
-0.13,-3.1,0
-2.82,-4.42,0
2.36,-4.39,0
-1.86,-4.5,0
-0.23,4.19,1
0.31,-4.43,0
0.08,3.51,1
-4.31,-4.32,0
3.62,-0.96,1
4.42,0.7,1
0.79,-4.6,0
-4.18,1.57,0
0.65,-1.84,0
-2.39,1.7,0
-1.86,-2.34,0
-3.69,1.46,0
-0.43,4.29,1
4.36,-4.91,0
1.21,0.63,1
-4.0,0.38,0
0.06,-3.68,0
-1.51,-4.31,0
-2.56,-2.15,0
-0.62,0.43,0
-1.97,4.84,1
3.07,0.29,1
1.68,0.55,1
4.32,-3.96,1
3.78,-2.36,1
3.9,2.42,1
-3.45,-2.18,0
-2.89,-1.57,0
1.87,3.53,1
